Month,Production_Units
14-Jan,2260
14-Feb,2156
14-Mar,2214
14-Apr,2197
14-May,2016
14-Jun,2705
14-Jul,2025
14-Aug,2649
14-Sep,2206
14-Oct,2271
14-Nov,2766
14-Dec,2460
15-Jan,3033
15-Feb,2444
15-Mar,2513
15-Apr,3091
15-May,2554
15-Jun,2636
15-Jul,3163
15-Aug,2900
15-Sep,2846
15-Oct,3203
15-Nov,3194
15-Dec,3762
16-Jan,3232
16-Feb,3463
16-Mar,3716
16-Apr,3383
16-May,3311
16-Jun,4129
16-Jul,4205
16-Aug,3904
16-Sep,3528
16-Oct,3940
16-Nov,3715
16-Dec,4075
17-Jan,4428
17-Feb,4471
17-Mar,4497
17-Apr,4252
17-May,4296
17-Jun,5120
17-Jul,4433
17-Aug,4804
17-Sep,5375
17-Oct,4787
17-Nov,5060
17-Dec,5663
18-Jan,5109
18-Feb,5626
18-Mar,5960
18-Apr,5612
18-May,5597
18-Jun,6002
18-Jul,6204
18-Aug,6534
18-Sep,5855
18-Oct,6702
18-Nov,6559
18-Dec,6946
19-Jan,6643
19-Feb,7176
19-Mar,6871
19-Apr,7396
19-May,7455
19-Jun,7018
19-Jul,7493
19-Aug,7419
19-Sep,7701
19-Oct,8199
19-Nov,7740
19-Dec,7912
20-Jan,8466
20-Feb,8405
20-Mar,8570
20-Apr,8514
20-May,9245
20-Jun,9082
20-Jul,9645
20-Aug,9292
20-Sep,9458
20-Oct,9753
20-Nov,9707
20-Dec,10321
21-Jan,10142
21-Feb,10508
21-Mar,11044
21-Apr,11087
21-May,11190
21-Jun,11789
21-Jul,11483
21-Aug,12175
21-Sep,12146
21-Oct,12307
21-Nov,12584
21-Dec,12356
22-Jan,13428
22-Feb,13531
22-Mar,13337
22-Apr,13341
22-May,13883
22-Jun,14317
22-Jul,14135
22-Aug,14479
22-Sep,15277
22-Oct,15370
22-Nov,15799
22-Dec,15965
23-Jan,16127
23-Feb,16079
23-Mar,16643
23-Apr,17454
23-May,17241
23-Jun,17607
23-Jul,17942
23-Aug,18103
23-Sep,18375
23-Oct,19179
23-Nov,19959
23-Dec,19632
24-Jan,19946
24-Feb,20622
24-Mar,21108
24-Apr,21768
24-May,21762
24-Jun,22647
24-Jul,23026
24-Aug,23473
24-Sep,23665
24-Oct,23574
24-Nov,24115
24-Dec,25192
25-Jan,25334
25-Feb,25329
25-Mar,26439
25-Apr,26644
25-May,26892
25-Jun,27378
25-Jul,27856
25-Aug,28608
25-Sep,29190
25-Oct,29719
25-Nov,30389
25-Dec,30850
26-Jan,31560
